[System]
-- specify system name
Name: f21

[Parameter]
-- general syntax is parameter_name : value1, value2, ...
Data_length (int) : 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 251, 252, 253, 254, 255
Reference_Type (int) : 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 251, 252, 253, 254, 255
File_number (int) : 0, 1, 2, 3, 4, 5, 7, 8, 9, 15, 16, 17, 31, 32, 33, 63, 64, 65, 127, 128, 129, 255, 256, 257, 511, 512, 513, 1023, 1024, 1025, 2047, 2048, 2049, 4095, 4096, 4097, 8191, 8192, 8193, 9993, 9994, 9995, 9996, 9997, 9998, 9999, 10000, 10001, 10002, 10003, 10004, 16383, 16384, 16385, 32767, 32768, 32769, 65471, 65472, 65473, 65503, 65504, 65505, 65519, 65520, 65521, 65527, 65528, 65529, 65530, 65531, 65532, 65533, 65534, 65535
Record_number (int) : 0, 1, 2, 3, 4, 5, 7, 8, 9, 15, 16, 17, 31, 32, 33, 63, 64, 65, 127, 128, 129, 255, 256, 257, 511, 512, 513, 1023, 1024, 1025, 2047, 2048, 2049, 4095, 4096, 4097, 8191, 8192, 8193, 9993, 9994, 9995, 9996, 9997, 9998, 9999, 10000, 10001, 10002, 10003, 10004, 16383, 16384, 16385, 32767, 32768, 32769, 65471, 65472, 65473, 65503, 65504, 65505, 65519, 65520, 65521, 65527, 65528, 65529, 65530, 65531, 65532, 65533, 65534, 65535
Record_length (int) : 0, 1, 2, 3, 4, 5, 7, 8, 9, 15, 16, 17, 31, 32, 33, 63, 64, 65, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 255, 256, 257, 511, 512, 513, 1023, 1024, 1025, 2047, 2048, 2049, 4095, 4096, 4097, 8191, 8192, 8193, 16383, 16384, 16385, 32767, 32768, 32769, 65471, 65472, 65473, 65503, 65504, 65505, 65519, 65520, 65521, 65527, 65528, 65529, 65530, 65531, 65532, 65533, 65534, 65535
Record_data (int) : 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 507, 508, 509, 510, 511, 512, 513, 514, 515, 516, 517, 1019, 1020, 1021, 1022, 1023, 1024, 1025, 1026, 1027, 1028, 1029, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448, 1449, 1450, 1451, 1452, 1453, 1454, 1455, 1456, 1457, 1458, 1459, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050, 2051, 2052, 2053, 4091, 4092, 4093, 4094, 4095, 4096, 4097, 4098, 4099, 4100, 4101, 5000, 8187, 8188, 8189, 8190, 8191, 8192, 8193, 8194, 8195, 8196, 8197, 10000, 16379, 16380, 16381, 16382, 16383, 16384, 16385, 16386, 16387, 16388, 16389, 20000, 32763, 32764, 32765, 32766, 32767, 32768, 32769, 32770, 32771, 32772, 32773, 65533, 65534, 65535, 65536, 65537

[Relation]
-- this section is optional
-- general format Rx : (p1, p2, ..., pk, Strength)

[Constraint]
-- this section is also optional
Record_data!=2*Record_length
Record_data%2!=0

[Test Set]
-- set existing test set for extend mode. this is also optional
-- * represents don't-care value
Data_length,Reference_Type,File_number,Record_number,Record_length,Record_data
35,37,65535,1,4,3
36,59,0,3,5,5
37,60,1,4,7,5
59,61,2,5,8,5
60,62,3,7,9,5
61,63,4,8,15,5
62,64,5,9,16,5
63,65,7,15,17,5
64,66,8,16,31,5
65,67,9,17,32,5
66,68,15,31,33,5
67,69,16,32,63,5
68,123,17,33,64,5
69,124,31,63,65,5
123,125,32,64,116,5
124,126,33,65,117,5
125,127,63,127,118,5
126,128,64,128,119,5
127,129,65,129,120,5
128,130,127,255,121,5
129,131,128,256,122,5
130,132,129,257,123,5
131,133,255,511,124,5
132,251,256,512,125,5
133,252,257,513,126,5
251,253,511,1023,127,5
252,254,512,1024,128,5
253,255,513,1025,129,5
254,0,1023,2047,255,5
255,1,1024,2048,256,5
0,19,1025,2049,257,5
1,20,2047,4095,511,5
2,21,2048,4096,512,5
3,27,2049,4097,513,5
4,28,4095,8191,1023,5
5,29,4096,8192,1024,5
6,30,4097,8193,1025,5
7,31,8191,9993,2047,5
8,32,8192,9994,2048,5
9,33,8193,9995,2049,5
10,34,9993,9996,4095,5
11,35,9994,9997,4096,5
12,36,9995,9998,4097,5
13,37,9996,9999,8191,5
14,2,9997,10000,8192,5
15,5,9998,10001,8193,5
16,6,9999,10002,16383,5
17,7,10000,10003,16384,5
18,8,10001,10004,16385,5
19,9,10002,16383,32767,5
20,10,10003,16384,32768,5
21,11,10004,16385,32769,5
27,12,16383,32767,65471,5
28,13,16384,32768,65472,5
29,14,16385,32769,65473,5
30,15,32767,65471,65503,5
31,16,32768,65472,65504,5
32,17,32769,65473,65505,5
33,18,65471,65503,65519,5
34,3,65472,65504,65520,5
35,4,65473,65505,65521,5
36,19,65503,65519,65527,5
37,61,65504,65520,65528,5
59,62,65505,65521,65529,5
60,63,65519,65527,65530,5
61,64,65520,65528,65531,5
62,65,65521,65529,65532,5
63,66,65527,65530,65533,5
64,67,65528,65531,65534,5
65,68,65529,65532,65535,5
66,69,65530,65533,0,5
67,123,65531,65534,1,5
68,124,65532,65535,3,5
69,125,65533,0,4,5
123,126,65534,1,2,5
124,127,65535,2,5,5
125,128,0,4,8,7
126,129,1,5,9,7
127,130,2,7,15,7
128,131,3,8,16,7
129,132,4,9,17,7
130,133,5,15,31,7
131,251,7,16,32,7
132,252,8,17,33,7
133,253,9,31,63,7
251,254,15,32,64,7
252,255,16,33,65,7
253,0,17,63,116,7
254,1,31,64,117,7
255,59,32,65,118,7
0,60,33,127,119,7
1,61,63,128,120,7
2,62,64,129,121,7
3,63,65,255,122,7
4,64,127,256,123,7
5,65,128,257,124,7
6,66,129,511,125,7
7,67,255,512,126,7
8,68,256,513,127,7
9,69,257,1023,128,7
10,123,511,1024,129,7
11,124,512,1025,255,7
12,125,513,2047,256,7
13,126,1023,2048,257,7
14,127,1024,2049,511,7
15,2,1025,4095,512,7
16,3,2047,4096,513,7
17,4,2048,4097,1023,7
18,5,2049,8191,1024,7
19,6,4095,8192,1025,7
20,7,4096,8193,2047,7
21,8,4097,9993,2048,7
27,9,8191,9994,2049,7
28,10,8192,9995,4095,7
29,11,8193,9996,4096,7
30,12,9993,9997,4097,7
31,13,9994,9998,8191,7
32,14,9995,9999,8192,7
33,15,9996,10000,8193,7
34,16,9997,10001,16383,7
35,17,9998,10002,16384,7
36,18,9999,10003,16385,7
37,19,10000,10004,32767,7
59,20,10001,16383,32768,7
60,21,10002,16384,32769,7
61,27,10003,16385,65471,7
62,28,10004,32767,65472,7
63,29,16383,32768,65473,7
64,30,16384,32769,65503,7
65,31,16385,65471,65504,7
66,32,32767,65472,65505,7
67,33,32768,65473,65519,7
68,34,32769,65503,65520,7
69,35,65471,65504,65521,7
123,36,65472,65505,65527,7
124,37,65473,65519,65528,7
125,59,65503,65520,65529,7
126,60,65504,65521,65530,7
127,131,65505,65527,65531,7
128,132,65519,65528,65532,7
129,133,65520,65529,65533,7
130,251,65521,65530,65534,7
131,252,65527,65531,65535,7
132,253,65528,65532,0,7
133,254,65529,65533,1,7
251,255,65530,65534,2,7
252,0,65531,65535,7,7
253,1,65532,0,5,7
254,128,65533,1,3,7
255,129,65534,2,4,7
0,130,65535,3,7,7
2,131,0,5,15,9
3,132,1,7,16,9
4,133,2,8,17,9
5,251,3,9,31,9
6,252,4,15,32,9
7,253,5,16,33,9
8,254,7,17,63,9
9,255,8,31,64,9
10,0,9,32,65,9
11,1,15,33,116,9
12,2,16,63,117,9
13,3,17,64,118,9
14,4,31,65,119,9
15,6,32,127,120,9
16,7,33,128,121,9
17,8,63,129,122,9
18,9,64,255,123,9
19,10,65,256,124,9
20,11,127,257,125,9
21,12,128,511,126,9
27,13,129,512,127,9
28,14,255,513,128,9
29,15,256,1023,129,9
30,16,257,1024,255,9
31,17,511,1025,256,9
32,18,512,2047,257,9
33,19,513,2048,511,9
34,20,1023,2049,512,9
35,21,1024,4095,513,9
36,27,1025,4096,1023,9
37,28,2047,4097,1024,9
59,29,2048,8191,1025,9
60,30,2049,8192,2047,9
61,31,4095,8193,2048,9
62,32,4096,9993,2049,9
63,33,4097,9994,4095,9
64,34,8191,9995,4096,9
65,35,8192,9996,4097,9
66,36,8193,9997,8191,9
67,37,9993,9998,8192,9
68,59,9994,9999,8193,9
69,60,9995,10000,16383,9
123,61,9996,10001,16384,9
124,62,9997,10002,16385,9
125,63,9998,10003,32767,9
126,64,9999,10004,32768,9
127,65,10000,16383,32769,9
128,66,10001,16384,65471,9
129,67,10002,16385,65472,9
130,68,10003,32767,65473,9
131,69,10004,32768,65503,9
132,123,16383,32769,65504,9
133,124,16384,65471,65505,9
251,125,16385,65472,65519,9
252,126,32767,65473,65520,9
253,127,32768,65503,65521,9
254,129,32769,65504,65527,9
255,130,65471,65505,65528,9
0,5,65472,65519,65529,9
1,128,65473,65520,65530,9
2,129,65503,65521,65531,9
3,130,65504,65527,65532,9
4,251,65505,65528,65533,9
5,252,65519,65529,65534,9
6,253,65520,65530,65535,9
7,254,65521,65531,0,9
8,255,65527,65532,1,9
9,0,65528,65533,2,9
10,1,65529,65534,8,9
11,2,65530,65535,9,9
12,3,65531,0,15,9
13,4,65532,1,7,9
14,5,65533,2,8,9
15,7,65534,3,9,9
17,9,65535,4,3,9
18,10,0,7,4,11
19,11,1,8,5,11
20,12,2,9,32,11
21,13,3,15,33,11
27,14,4,16,63,11
28,15,5,17,64,11
29,16,7,31,65,11
30,17,8,32,116,11
31,18,9,33,117,11
32,19,15,63,118,11
33,20,16,64,119,11
34,21,17,65,120,11
35,27,31,127,121,11
36,28,32,128,122,11
37,29,33,129,123,11
59,30,63,255,124,11
60,31,64,256,125,11
61,32,65,257,126,11
62,33,127,511,127,11
63,34,128,512,128,11
64,35,129,513,129,11
65,36,255,1023,255,11
66,37,256,1024,256,11
67,59,257,1025,257,11
68,60,511,2047,511,11
69,61,512,2048,512,11
123,62,513,2049,513,11
124,63,1023,4095,1023,11
125,64,1024,4096,1024,11
126,65,1025,4097,1025,11
127,66,2047,8191,2047,11
128,67,2048,8192,2048,11
129,68,2049,8193,2049,11
130,69,4095,9993,4095,11
131,123,4096,9994,4096,11
132,124,4097,9995,4097,11
133,125,8191,9996,8191,11
251,126,8192,9997,8192,11
252,127,8193,9998,8193,11
253,128,9993,9999,16383,11
254,131,9994,10000,16384,11
255,132,9995,10001,16385,11
0,133,9996,10002,32767,11
1,6,9997,10003,32768,11
16,9,9998,10004,32769,11
17,129,9999,16383,65471,11
3,251,10000,16384,65472,11
4,252,10001,16385,65473,11
5,8,10002,32767,65503,11
6,130,10003,32768,65504,11
7,255,10004,32769,65505,11
8,0,16383,65471,65519,11
9,1,16384,65472,65520,11
10,3,16385,65473,65521,11
11,4,32767,65503,65527,11
12,5,32768,65504,65528,11
13,7,32769,65505,65529,11
14,253,65471,65519,65530,11
15,254,65472,65520,65531,11
16,2,65473,65521,65532,11
18,6,65503,65527,65533,11
19,12,65504,65528,65534,11
2,13,65505,65529,65535,11
20,14,65519,65530,0,11
21,15,65520,65531,1,11
27,16,65521,65532,2,11
29,17,65527,65533,16,11
30,18,65528,65534,17,11
31,19,65529,65535,31,11
32,21,65530,0,7,11
33,27,65531,1,8,11
34,28,65532,2,9,11
35,29,65533,3,15,11
36,30,65534,4,16,11
37,31,65535,5,17,11
59,32,0,8,31,13
60,34,1,9,33,13
61,35,2,15,63,13
62,36,3,16,64,13
63,37,4,17,65,13
64,59,5,31,116,13
65,60,7,32,117,13
66,61,8,33,118,13
67,62,9,63,119,13
68,63,15,64,120,13
69,64,16,65,121,13
123,65,17,127,122,13
124,66,31,128,123,13
125,67,32,129,124,13
126,68,33,255,125,13
127,69,63,256,126,13
128,123,64,257,127,13
129,124,65,511,128,13
130,125,127,512,129,13
131,126,128,513,255,13
132,127,129,1023,256,13
133,128,255,1024,257,13
251,131,256,1025,511,13
252,132,257,2047,512,13
253,133,511,2048,513,13
254,8,512,2049,1023,13
255,10,513,4095,1024,13
0,11,1023,4096,1025,13
1,33,1024,4097,2047,13
28,20,1025,8191,2048,13
29,21,2047,8192,2049,13
30,27,2048,8193,4095,13
31,28,2049,9993,4096,13
32,29,4095,9994,4097,13
33,30,4096,9995,8191,13
34,31,4097,9996,8192,13
35,129,8191,9997,8193,13
36,130,8192,9998,16383,13
37,252,8193,9999,16384,13
2,253,9993,10000,16385,13
3,254,9994,10001,32767,13
4,255,9995,10002,32768,13
5,0,9996,10003,32769,13
6,1,9997,10004,65471,13
7,2,9998,16383,65472,13
8,4,9999,16384,65473,13
9,5,10000,16385,65503,13
10,6,10001,32767,65504,13
11,7,10002,32768,65505,13
12,9,10003,32769,65519,13
13,12,10004,65471,65520,13
14,13,16383,65472,65521,13
15,14,16384,65473,65527,13
16,15,16385,65503,65528,13
17,16,32767,65504,65529,13
18,17,32768,65505,65530,13
19,18,32769,65519,65531,13
20,19,65471,65520,65532,13
21,20,65472,65521,65533,13
27,3,65473,65527,65534,13
28,11,65503,65528,65535,13
59,251,65504,65529,0,13
60,8,65505,65530,1,13
61,10,65519,65531,2,13
62,34,65520,65532,3,13
63,35,65521,65533,4,13
64,36,65527,65534,5,13
66,59,65528,65535,32,13
67,60,65529,0,9,13
68,61,65530,1,15,13
69,62,65531,2,16,13
123,63,65532,3,17,13
124,64,65533,4,31,13
125,65,65534,5,32,13
126,66,65535,7,33,13
127,67,0,9,63,15
128,68,1,15,64,15
129,69,2,16,65,15
130,123,3,17,116,15
131,124,4,31,117,15
132,125,5,32,118,15
133,126,7,33,119,15
251,127,8,63,120,15
252,128,9,64,121,15
253,132,15,65,122,15
254,133,16,127,123,15
255,32,17,128,124,15
0,33,31,129,125,15
1,37,32,255,126,15
65,59,33,256,127,15
66,131,63,257,128,15
67,251,64,511,129,15
68,252,65,512,255,15
69,253,127,513,256,15
123,254,128,1023,257,15
124,255,129,1024,511,15
125,0,255,1025,512,15
126,1,256,2047,513,15
2,5,257,2048,1023,15
3,6,511,2049,1024,15
4,7,512,4095,1025,15
5,9,513,4096,2047,15
6,10,1023,4097,2048,15
7,11,1024,8191,2049,15
8,12,1025,8192,4095,15
9,13,2047,8193,4096,15
10,14,2048,9993,4097,15
11,15,2049,9994,8191,15
12,16,4095,9995,8192,15
13,17,4096,9996,8193,15
14,18,4097,9997,16383,15
15,19,8191,9998,16384,15
16,20,8192,9999,16385,15
17,21,8193,10000,32767,15
18,27,9993,10001,32768,15
19,28,9994,10002,32769,15
20,29,9995,10003,65471,15
21,30,9996,10004,65472,15
27,31,9997,16383,65473,15
28,34,9998,16384,65503,15
29,35,9999,16385,65504,15
30,36,10000,32767,65505,15
31,60,10001,32768,65519,15
32,61,10002,32769,65520,15
33,62,10003,65471,65521,15
34,63,10004,65472,65527,15
35,64,16383,65473,65528,15
36,65,16384,65503,65529,15
37,66,16385,65504,65530,15
59,2,32767,65505,65531,15
60,3,32768,65519,65532,15
61,4,32769,65520,65533,15
62,8,65471,65521,65534,15
63,129,65472,65527,65535,15
64,130,65473,65528,0,15
65,131,65503,65529,1,15
127,132,65504,65530,2,15
128,133,65505,65531,3,15
129,33,65519,65532,4,15
130,37,65520,65533,5,15
131,67,65521,65534,7,15
132,68,65527,65535,8,15
133,69,65528,0,16,15
251,123,65529,1,17,15
252,124,65530,2,31,15
253,125,65531,3,32,15
254,126,65532,4,33,15
255,127,65533,5,63,15
0,128,65534,7,64,15
1,129,65535,8,65,15
3,253,0,15,116,17
4,32,1,16,117,17
5,33,2,17,118,17
6,34,3,31,119,17
7,35,4,32,120,17
8,36,5,33,121,17
9,37,7,63,122,17
10,59,8,64,123,17
11,60,9,65,124,17
12,61,15,127,125,17
13,62,16,128,126,17
14,63,17,129,127,17
15,64,31,255,128,17
16,65,32,256,129,17
17,66,33,257,255,17
18,67,63,511,256,17
19,68,64,512,257,17
20,69,65,513,511,17
21,123,127,1023,512,17
27,124,128,1024,513,17
28,125,129,1025,1023,17
29,126,255,2047,1024,17
30,127,256,2048,1025,17
31,128,257,2049,2047,17
32,130,511,4095,2048,17
33,131,512,4096,2049,17
34,132,513,4097,4095,17
35,133,1023,8191,4096,17
36,251,1024,8192,4097,17
37,254,1025,8193,8191,17
59,255,2047,9993,8192,17
60,0,2048,9994,8193,17
61,1,2049,9995,16383,17
62,2,4095,9996,16384,17
63,3,4096,9997,16385,17
64,4,4097,9998,32767,17
65,5,8191,9999,32768,17
66,6,8192,10000,32769,17
67,7,8193,10001,65471,17
68,8,9993,10002,65472,17
69,9,9994,10003,65473,17
123,10,9995,10004,65503,17
124,11,9996,16383,65504,17
125,12,9997,16384,65505,17
126,13,9998,16385,65519,17
127,14,9999,32767,65520,17
128,15,10000,32768,65521,17
129,16,10001,32769,65527,17
130,17,10002,65471,65528,17
131,18,10003,65472,65529,17
132,19,10004,65473,65530,17
133,20,16383,65503,65531,17
251,21,16384,65504,65532,17
252,27,16385,65505,65533,17
253,28,32767,65519,65534,17
254,29,32768,65520,65535,17
255,30,32769,65521,0,17
0,31,65471,65527,1,17
1,252,65472,65528,2,17
2,32,65473,65529,3,17
3,34,65503,65530,4,17
4,129,65504,65531,5,17
5,132,65505,65532,7,17
6,133,65519,65533,8,17
7,251,65520,65534,9,17
8,252,65521,65535,15,17
9,253,65527,0,17,17
10,254,65528,1,31,17
11,255,65529,2,32,17
12,0,65530,3,33,17
13,1,65531,4,63,17
14,3,65532,5,64,17
15,4,65533,7,65,17
16,5,65534,8,116,17
18,7,65535,9,117,17
19,8,0,16,118,19
20,9,1,17,119,19
21,10,2,31,120,19
27,11,3,32,121,19
28,12,4,33,122,19
29,13,5,63,123,19
30,14,7,64,124,19
31,15,8,65,125,19
32,16,9,127,126,19
33,17,15,128,127,19
34,18,16,129,128,19
35,19,17,255,129,19
36,20,31,256,255,19
37,21,32,257,256,19
59,27,33,511,257,19
60,28,63,512,511,19
61,29,64,513,512,19
62,30,65,1023,513,19
63,31,127,1024,1023,19
64,32,128,1025,1024,19
65,33,129,2047,1025,19
66,35,255,2048,2047,19
67,36,256,2049,2048,19
68,37,257,4095,2049,19
69,59,511,4096,4095,19
123,60,512,4097,4096,19
124,61,513,8191,4097,19
125,62,1023,8192,8191,19
126,63,1024,8193,8192,19
127,64,1025,9993,8193,19
128,65,2047,9994,16383,19
129,66,2048,9995,16384,19
130,67,2049,9996,16385,19
131,68,4095,9997,32767,19
132,69,4096,9998,32768,19
133,123,4097,9999,32769,19
251,124,8191,10000,65471,19
252,125,8192,10001,65472,19
253,126,8193,10002,65473,19
254,127,9993,10003,65503,19
255,128,9994,10004,65504,19
0,131,9995,16383,65505,19
1,130,9996,16384,65519,19
2,133,9997,16385,65520,19
